,CATEGORY,INSTALL_DATE,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,SHAPE_Length,STREET,START,END
2787,BKF-SHW,2007,DISTRICT2,,558.999336627845,BEACON ER AVE S ,BEACON ER AVE S AND S FERDINAND S ST,BEACON ER AVE S AND S DAWSON ST
2788,BKF-SHW,2007,DISTRICT2,,244.43668152954,BEACON ER AVE S ,BEACON ER AVE S AND S DAWSON ST,BEACON ER AVE S AND S BENNETT N ST
2789,BKF-SHW,2007,DISTRICT2,,139.158978131205,BEACON ER AVE S ,BEACON ER AVE S AND S BENNETT N ST,BEACON ER AVE S AND S BENNETT S ST
2790,BKF-SHW,2007,DISTRICT2,,439.397241519299,BEACON ER AVE S ,BEACON ER AVE S AND S BRANDON ST,BEACON ER AVE S AND S VERN CT
2791,BKF-SHW,2007,DISTRICT2,,586.988106717072,BEACON ER AVE S ,BEACON ER AVE S AND S VERN CT,BEACON ER AVE S AND S ORCAS ST
2792,BKF-SHW,2007,DISTRICT2,,357.977435309506,BEACON ER AVE S ,BEACON ER AVE S AND S ORCAS ST,BEACON ER AVE S AND S JUNEAU ST
2793,BKF-SHW,2007,DISTRICT2,,519.674004601724,BEACON ER AVE S ,BEACON ER AVE S AND S JUNEAU ST,BEACON ER AVE S AND S RAYMOND ST
2794,BKF-NGW,2019,DISTRICT1,,337.287289072601,SW CAMBRIDGE ST ,29TH AVE SW AND SW CAMBRIDGE ST,30TH N AVE SW AND SW CAMBRIDGE ST
2795,BKF-PBL,2018,DISTRICT2,,398.172768523119,S MYRTLE PL ,S MYRTLE PL AND S MYRTLE ST,33RD AVE S AND S MYRTLE PL
2796,BKF-PBL,2018,DISTRICT2,,398.11944290696,S MYRTLE PL ,33RD AVE S AND S MYRTLE PL,35TH AVE S AND S MYRTLE PL
2797,BKF-PBL,2018,DISTRICT2,,466.671877664747,S MYRTLE PL ,35TH AVE S AND S MYRTLE PL,HOLLY PARK DR S AND S MYRTLE PL
2798,BKF-PBL,2018,DISTRICT2,,216.416037151455,S MYRTLE PL ,HOLLY PARK DR S AND S MYRTLE PL,S MYRTLE PL AND S OTHELLO ST
2799,BKF-PBL,2018,DISTRICT2,,549.110016923321,S MYRTLE ST ,S MYRTLE ST AND SWIFT AVE S,BEACON WR AVE S AND S MYRTLE ST
2800,BKF-PBL,2018,DISTRICT2,,1151.73381682846,S MYRTLE ST ,BEACON ER AVE S AND S MYRTLE ST,S MYRTLE PL AND S MYRTLE ST
2801,BKF-NGW,2017,DISTRICT2,,334.76797366223,S MYRTLE ST ,44TH AVE S AND S MYRTLE ST,45TH AVE S AND S MYRTLE ST
2802,BKF-NGW,2012,DISTRICT2,,310.81896817332,S NEVADA ST ,13TH AVE S AND S NEVADA ST,14TH AVE S AND S NEVADA ST
2803,BKF-NGW,2015,DISTRICT3,,259.6407334094,S NORMAN ST ,25TH AVE S AND S NORMAN ST,26TH AVE S AND S NORMAN ST
2804,BKF-NGW,2019,DISTRICT1,,173.942843015595,SW KENYON ST ,HOLDEN PL SW AND SW KENYON ST,31ST AVE SW AND SW KENYON ST
2805,BKF-NGW,2019,DISTRICT1,,331.970333007121,SW KENYON ST ,31ST AVE SW AND SW KENYON ST,32ND AVE SW AND SW KENYON ST
2806,BKF-NGW,2019,DISTRICT1,,331.97623666547,SW KENYON ST ,32ND AVE SW AND SW KENYON ST,34TH AVE SW AND SW KENYON ST
2807,BKF-SHW,2008,DISTRICT1,,329.427216719553,SW MORGAN ST ,32ND AVE SW AND SW MORGAN ST,34TH AVE SW AND SW MORGAN ST
2808,BKF-SHW,2008,DISTRICT1,,334.424340341698,SW MORGAN ST ,34TH AVE SW AND SW MORGAN ST,35TH AVE SW AND SW MORGAN ST
2809,BKF-SHW,2008,DISTRICT7,,182.176462305829,W DRAVUS ST ,15TH AV W SB OFF RP AND W DRAVUS ST,16TH AVE W AND W DRAVUS ST
2810,BKF-SHW,2008,DISTRICT7,,766.259572443578,W DRAVUS ST ,17TH AVE W AND W DRAVUS ST,20TH AVE W AND W DRAVUS ST
