OBJECTID,COMPKEY,COMPTYPE,SEGKEY,UNITID,UNITTYPE,UNITDESC,CATEGORY,MATERIAL,STYLE,MODEL_TYPE,ASSET_WIDTH,ASSET_HEIGHT,INSTALL_DATE,ASBLT,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,ATTACHMENT_10,NUM_ATTACHMENTS,COMMENTS,CURRENT_STATUS,CURRENT_STATUS_DATE,CONDITION,CONDITION_ASSESSMENT_DATE,LAST_ASSET_VERIFICATION_DATE,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,OWNERSHIP,OWNERSHIP_DATE,MAINTAINED_BY,MAINTENANCE_AGREEMENT,MAINTENANCE_FINANCIAL_RESP,ADDBY,ADDDTTM,MODBY,MODDTTM,DATE_MVW_LAST_UPDATED,COLOR,MOUNT_TYPE,MOUNT_MATERIAL,MAINTENANCE_GROUP,SHAPE_Length
93,837022,16,13266,BKF-5766,BKF,VALLEY ST BETWEEN TERRY AVE N AND LAKE UNION PARK ACCESS RD (BKF-BL),BKF-BL,,,,0,0,,,,,,,,,,,,,0,PROJECT NUMBER 384,PLNRECON,,,,,DISTRICT3,DISTRICT7,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,226.89880426209
94,837023,16,13362,BKF-5767,BKF,WALLINGFORD AVE N BETWEEN N 34TH ST AND N 35TH ST (BKF-SHW),BKF-SHW,,,,0,0,2007/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 856,PLNRECON,2007/12/31 00:00:00+00,,,2007/12/31 00:00:00+00,DISTRICT4,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,SR1163846,2021/12/28 00:00:00+00,2022/04/28 19:12:14+00,,,, ,419.699948180508
95,837024,16,13364,BKF-5768,BKF,WALLINGFORD AVE N BETWEEN N 36TH ST AND N 37TH ST (BKF-SHW),BKF-SHW,,,,0,0,2007/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 856,PLNRECON,2007/12/31 00:00:00+00,,,2007/12/31 00:00:00+00,DISTRICT4,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,SR1163846,2021/12/28 00:00:00+00,2022/04/28 19:12:14+00,,,, ,538.884197711401
96,837025,16,13366,BKF-5769,BKF,WALLINGFORD AVE N BETWEEN N 38TH ST AND N 39TH ST (BKF-SHW),BKF-SHW,,,,0,0,2007/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 856,PLNRECON,2007/12/31 00:00:00+00,,,2007/12/31 00:00:00+00,DISTRICT4,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,SR1163846,2021/12/28 00:00:00+00,2022/04/28 19:12:14+00,,,, ,426.571241487846
97,837026,16,13368,BKF-5770,BKF,WALLINGFORD AVE N BETWEEN N 40TH ST AND N 41ST ST (BKF-SHW),BKF-SHW,,,,0,0,2007/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 856,PLNRECON,2007/12/31 00:00:00+00,,,2007/12/31 00:00:00+00,DISTRICT4,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,SR1163846,2021/12/28 00:00:00+00,2022/04/28 19:12:14+00,,,, ,426.054558037879
98,837027,16,10542,BKF-5771,BKF,FREMONT AVE N BETWEEN N 98TH ST AND N 100TH ST (BKF-NGW),BKF-NGW,,,,0,0,,,,,,,,,,,,,0,,INSVC,,,,,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,330.294285939602
99,837028,16,10544,BKF-5772,BKF,FREMONT AVE N BETWEEN N 101ST ST AND N 102ND ST (BKF-NGW),BKF-NGW,,,,0,0,,,,,,,,,,,,,0,,INSVC,,,,,DISTRICT5,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,264.232308819617
142,834642,16,19312,BKF-3386,BKF,S ALASKA ST BETWEEN 38TH AVE S AND 41ST AVE S (BKF-BL),BKF-BL,,,,0,0,,,,,,,,,,,,,0,,INSVC,,,,,DISTRICT2,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,792.913337025166
143,834643,16,19326,BKF-3387,BKF,S ALBRO PL BETWEEN ELLIS AVE S AND S EDDY ST (BKF-BL),BKF-BL,,,,0,0,2011/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 711,PLNRECON,2011/12/31 00:00:00+00,,,2011/12/31 00:00:00+00,DISTRICT2,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,132.001770473685
144,834644,16,19328,BKF-3388,BKF,S ALBRO PL BETWEEN S HARDY ST AND 13TH AVE S (BKF-BL),BKF-BL,,,,0,0,2011/12/31 00:00:00+00,,,,,,,,,,,,0,PROJECT NUMBER 711,PLNRECON,2011/12/31 00:00:00+00,,,2011/12/31 00:00:00+00,DISTRICT2,,N,,,,,,,SP_BKF_DATALOAD,2021/09/11 00:00:00+00,,,2022/04/28 19:12:14+00,,,, ,233.750450234007
